Source,Question,reply
forum," Hi Rachid, When I tried to log in CSE using VNC by following the instructions below: http://taggi.cse.unsw.edu.au/FAQ/VNC/ I got the desktop like below: which is not the desktop that I got from the lab. What is this desktop and how can I get the desktop that I get from the lab? thank you! Erik https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5147351/e832dde5d0961979575e827e7d65c555a3d47146261fd57933f3de47052c6daf/Screen_Shot_2017-08-01_at_7.32.00_am.png I've never looked at those instructions ... but precisely how you do it depends on what kind of machine you're using. For a Mac ... download and install a VPN client like AnyConnect download and install a VNC client like TigerVNC run the VPN client using zID,zPass to set up a connection to UNSW run the VNC client using vlab.cse.unsw.edu.au:5919 as your VNC server To find the clients, just use a Google search on the name. They comes as packages and are easy to install (on a Mac at least). Gives me a desktop that looks like a CSE workstation. I presume similar clients exist for (ugh) Windows.", Follow the instructions in the following link instead: https://taggi.cse.unsw.edu.au/FAQ/VLAB_-_The_technical_details/ I am using Windows with TigerVNC Viewer and Cisco AnyConnect Secure Mobility Client clients for resp. VNC and VPN clients and it works fine.
forum," Hello Sir, COMP9311 is not available on Moodle, I assume we will use only WebCMS3? Will lecture recordings be available here as well? Thanks, Shoaib Hi Rachid, Do you have a link to lecture recordings? Hi Rachid, I can see that, but I understand the actual lectures themselves will be recorded for students in the Web Stream - is that correct? If so, I can't find a link to the lecture recordings."," Hello Shoaib, I just made Moodle shell for the course visible for students.  However, I put a note saying that COMP9311 Moodle shell is NOT the main COMP9311 course website.   We will be using WebCMS3 instead. This Moodle shell will be simply used to provide access to some videos very related to the content of the course.  I will also put these videos available on WebCMS3 under Lectures. Rachid Hello William, I just posted under Lectures three videos related to ER Design (the important topic discussed in the class today). Hello William, The link has been added under Lectures.  However, the lecture recordings aren't yet available.  This will be hopefully sorted out soon."
forum," Hi Rachid, I want to know about web delivery option. Is it the recordings of the class lectures? Or the online streaming of the class? Regards, Rabiha It's recordings, which you should be able to access via Moodle. I'll add a link to the COMP9311 Moodle web site on the Lectures page. BUT I just found that the lecture recordings aren't yet available. I'll sort that out tomorrow.", Thank you John for your clarifications.
forum," Hi,dear professor,could you give me the detail method of computing minimal cover and decomposing into BCNF?I have watched lecture recording and John's video,but I am still not sure how to computing minimal cover."," The method is already given in the lecture slides with examples.  Also, it is mainly used for decomposing a relation 3NF not BCNF."
forum," Hi professor, I am confused about total participation when we are drawing the ER diagram. Because sometimes the question didn’t directly show that an entity is total participation in the relationship, so we may need to understand the meaning and infer that it is total or partial participation. However, although sometimes our inference is reasonable, the answer may differ from ours. So, my question is that do we only need to add total participation between two entities according to the questions? Thank you! Thank you professor, I will make reasonable assumptions during the exam."," Furthermore, since assumptions may differ from one student to another, there will be no ONE unique answer for the question and this is perfectly fine."
forum," Hello Dr Hamadi, I was wondering about Q2(b) relational database schema in which the answer separated ""Play"" from ""Game"". As far as I have learnt, we are supposed to merge n-to-1 relations into ""n"", and therefore, ""Game"" is supposed to be merged into ""Play"", like this: Relation PlayGame: GID | HomeTeam | ForeignTeam | homeRebounds | ......ForeignSteals (PK----FK--------------                FK---------------                   attributes-------------------------------------  ) Is this correct? Thanks, Feng"," Yes that is correct.   Actually, an alternative (and a better) solution) is given below: https://webcms3.cse.unsw.edu.au/static/uploads/pic/z2286838/21b238cb5aae324b65a1713bb69187d0d6559cfde43947a047ad98b0e54c874b/Q2b1.png"
forum," Hello Professor, I am confused with Q1 5). is 'xue' not the right answer for substr('xuemin',1,3)? I thought sql indexing starts with 1, so substr 1 to 3 would mean xue. but apperently it is false according to the sample answer sheet"," The question says if 'XUE' (not 'xue') is the correct answer.  The response is then False since SQL substr() function is case sensitive.  Hence, 'xue' is the right answer for substr('xuemin',1,3) (not 'XUE')."
forum," Hi Professor, When we are asked to create a schema in the exam, are we supposed to provide SQL code (e.g create table Person... etc) or provide a relational model like the image below: Thank you, https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5175539/917040aed27efa1ae9b0e0434b0a0224b86ad0cf1c5f121233e81fc6b369bc06/Capture.png", The questions will be clear in exam. We will ask to create a relational model if we want you to create a relational model. We will also ask you to write SQL statements to create tables if we want you to write SQL statements to create tables.
forum," Hi Prof, As hi lighted in red if joint is not implemented via product,  r joins s has been noted as below? Thank You Erik https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5147351/f2e6ee5b91c40597a31956e6a0fd0a241f88d5531fed78e89016af05ea4bef10/Screen_Shot_2017-10-06_at_4.06.59_pm.png Thank you Rachid, my question was , since the join is expressed in the RA of product, I just wondering what is the actual implementation of join , does it get the product of the two relationship first and then Sel those with that match the condition? I know the result is much less than product, which could be the result of the later select after the product. All I want to know is the actually implementation of join get the product first?(as you indicated above is not?) in that case the RA product expression is just a representation of join but have nothing to do with the actual implementation? Thankyou Erik"," I did not get your question. This slide says that (Natural) Join can be expressed using other RA operators (Cartesian Product, Selection, and Projection).  Furthermore, since in general the number of tuples of a Join operation is much less than the number of tuples of a Product operation, Join is then not implemented using Product since the performance would be degraded. Please have a look at the following journal paper related to the topic: Mishra, P., & Eich, M. H. (1992). Join processing in relational databases. ACM Computing Surveys (CSUR), 24(1), 63-113. You can either get it through UNSW library or by using the following link: http://www.diku.dk/hjemmesider/ansatte/henglein/pa..."
forum," Another question... definition of devision 1.r / s = r Div s = { t | t ∈ r[R-S] ∧ satisfy } 2.where satisfy = ∀ ts ∈ S ( &exists; tr ∈ R ( tr [S] = ts ∧ tr [R-S] = t ) ) since we are performing the attributes difference opeartion: t ∈ r[R-S] do we have to make sure that the common attributes have the same name in this case column B? if not should we rename the attribute to make them the same like join? Also, do we need to understand the logic representation? since the line 1. says there should be such tuple t that satisfy t ∈ r[R-S] and satisfy and then in line 2. when we define the condition satisfy there is a condition  tr [R-S] = t where we refer back to t is that recursive? we use a to be defined tuple as condition to define this to be defined tuple? Thank you Erik https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5147351/280ae02ed44a6c04cf8944a41f4bf5601c985c7787022a06688f1fe390c49c83/Screen_Shot_2017-10-06_at_4.26.57_pm.png Okay, Thank you Prof!"," Yes you need to make sure that the common attributes have the same name in R and S relations (see Beers database example in next slides 37 and 38). There is no recursivity in the definition.  For readability reasons we wrote ""satisfy"" in another line.  We could have written the whole condition as follows: r / s = r Div s = { t | t ∈ r[R-S] ∧ (∀ ts ∈ S ( ∃ tr ∈ R ( tr [S] = ts ∧ tr [R-S] = t ) ) )  } Try to understand the explanation given in plain English: (1) consider each subset of tuples in R that match on t[R-S] (meaning consider only the attributes of R-S), (2) for this subset of tuples, take the t[S] (meaning consider only the attributes of S) values from each, and (3) if this covers all tuples in S, then include t[R-S] in the result. Division operation is used to handle queries that include ""for all""."
